Time,Load
20240101 00:00,76448.94
20240101 00:30,71991.19
20240101 01:00,78823.71
20240101 01:30,78519.26
20240101 02:00,78039.6
20240101 02:30,77404.55
20240101 03:00,77406.54
20240101 03:30,76347.99
20240101 04:00,75043.5
20240101 04:30,72576.68
20240101 05:00,67717.8
20240101 05:30,61706.96
20240101 06:00,53656.45
20240101 06:30,48875.47
20240101 07:00,39400.56
20240101 07:30,35821.33
20240101 08:00,35758.21
20240101 08:30,37834.71
20240101 09:00,40906.81
20240101 09:30,43440.78
20240101 10:00,43603.86
20240101 10:30,43229.24
20240101 11:00,41960.33
20240101 11:30,39916.39
20240101 12:00,37040.46
20240101 12:30,34235.34
20240101 13:00,31086.4
20240101 13:30,27554.45
20240101 14:00,24178.55
20240101 14:30,21412
20240101 15:00,21414.06
20240101 15:30,25419.7
20240101 16:00,33043.2
20240101 16:30,40637.04
20240101 17:00,46950.74
20240101 17:30,50947.16
20240101 18:00,54057.78
20240101 18:30,56506.43
20240101 19:00,58547.11
20240101 19:30,60433.21
20240101 20:00,62487.38
20240101 20:30,64554.2
20240101 21:00,66525.53
20240101 21:30,67543.58
20240101 22:00,67445.38
20240101 22:30,66649.33
20240101 23:00,79992.63
20240101 23:30,81882.65
20240102 00:00,81586.52
20240102 00:30,78413.53
20240102 01:00,86750.64
20240102 01:30,87556.94
20240102 02:00,88215.18
20240102 02:30,87827.68
20240102 03:00,87193.26
20240102 03:30,84952.6
20240102 04:00,81902.02
20240102 04:30,77710.94
20240102 05:00,71542.77
20240102 05:30,65299.55
20240102 06:00,58790.85
20240102 06:30,56694.48
20240102 07:00,50886.62
20240102 07:30,52163.65
20240102 08:00,52669.23
20240102 08:30,52057.94
20240102 09:00,51735.27
20240102 09:30,50978.37
20240102 10:00,49647.93
20240102 10:30,49003.09
20240102 11:00,48625.72
20240102 11:30,51186.86
20240102 12:00,51087.27
20240102 12:30,50135.27
20240102 13:00,48379.54
20240102 13:30,46254.49
20240102 14:00,44754.14
20240102 14:30,45237.85
20240102 15:00,45028.76
20240102 15:30,45614.13
20240102 16:00,49703.6
20240102 16:30,56391.39
20240102 17:00,62659.93
20240102 17:30,66703.07
20240102 18:00,69123.19
20240102 18:30,70728.45
20240102 19:00,72003.3
20240102 19:30,72805.35
20240102 20:00,74211.03
20240102 20:30,75705.78
20240102 21:00,76842.52
20240102 21:30,77045.19
20240102 22:00,76298.03
20240102 22:30,74767
20240102 23:00,87372.4
20240102 23:30,89233.23
20240103 00:00,88625.45
20240103 00:30,85323.2
20240103 01:00,93361.92
20240103 01:30,93381.94
20240103 02:00,93513.66
20240103 02:30,92670.23
20240103 03:00,91959.83
20240103 03:30,89611.01
20240103 04:00,87208.83
20240103 04:30,83542.5
20240103 05:00,78111.88
20240103 05:30,72358.62
20240103 06:00,64756.68
20240103 06:30,61515.5
20240103 07:00,51957.49
20240103 07:30,51926.42
20240103 08:00,54351.31
20240103 08:30,54639.1
20240103 09:00,55059.03
20240103 09:30,53580.64
20240103 10:00,52672.68
20240103 10:30,49140.88
20240103 11:00,48822.32
20240103 11:30,48278.17
20240103 12:00,47527.06
20240103 12:30,45690.87
20240103 13:00,44721.98
20240103 13:30,44179.45
20240103 14:00,41742.82
20240103 14:30,41624.55
20240103 15:00,42500.22
20240103 15:30,44148.69
20240103 16:00,50281.04
20240103 16:30,56233.76
20240103 17:00,62733.16
20240103 17:30,67023.2
20240103 18:00,69867.48
20240103 18:30,71310.35
20240103 19:00,72140.71
20240103 19:30,72772
20240103 20:00,73695.68
20240103 20:30,73962.21
20240103 21:00,74260.84
20240103 21:30,73121
20240103 22:00,70981.58
20240103 22:30,68335.33
20240103 23:00,78476.38
20240103 23:30,78355.42
20240104 00:00,75869.76
20240104 00:30,71712.82
20240104 01:00,78841.18
20240104 01:30,79430.39
20240104 02:00,79865.9
20240104 02:30,79983.38
20240104 03:00,80364.2
20240104 03:30,79610.93
20240104 04:00,78853.1
20240104 04:30,77194.41
20240104 05:00,73442.63
20240104 05:30,69015.49
20240104 06:00,62874.53
20240104 06:30,59904.02
20240104 07:00,51115.7
20240104 07:30,49252.55
20240104 08:00,47045.67
20240104 08:30,45863.68
20240104 09:00,41967.57
20240104 09:30,41651.87
20240104 10:00,40709.78
20240104 10:30,41051.39
20240104 11:00,40207.14
20240104 11:30,39505.82
20240104 12:00,37140.48
20240104 12:30,33811.21
20240104 13:00,29956.18
20240104 13:30,26226.05
20240104 14:00,22366.03
20240104 14:30,19956.3
20240104 15:00,20222.6
20240104 15:30,24386.03
20240104 16:00,32668.41
20240104 16:30,40598.35
20240104 17:00,47566.22
20240104 17:30,52643.51
20240104 18:00,56874.78
20240104 18:30,60262.04
20240104 19:00,62512.33
20240104 19:30,64439.05
20240104 20:00,66574.73
20240104 20:30,68422.82
20240104 21:00,70184.02
20240104 21:30,70281.02
20240104 22:00,69479.35
20240104 22:30,67799.04
20240104 23:00,80001.58
20240104 23:30,81379.53
20240105 00:00,80796.66
20240105 00:30,77682.36
20240105 01:00,86539.74
20240105 01:30,87992.9
20240105 02:00,89326.15
20240105 02:30,89690.54
20240105 03:00,89610.8
20240105 03:30,87848.14
20240105 04:00,86040.45
20240105 04:30,83105.45
20240105 05:00,79662.57
20240105 05:30,76443.66
20240105 06:00,72755.23
20240105 06:30,72408.93
20240105 07:00,61971.18
20240105 07:30,54394.57
20240105 08:00,48415.54
20240105 08:30,44827.49
20240105 09:00,43360.29
20240105 09:30,42286.52
20240105 10:00,40521.23
20240105 10:30,39539.07
20240105 11:00,37883.16
20240105 11:30,36233.73
20240105 12:00,34043.59
20240105 12:30,30722.55
20240105 13:00,27768.89
20240105 13:30,24505.21
20240105 14:00,21747.97
20240105 14:30,19773.01
20240105 15:00,20706.94
20240105 15:30,24860.46
20240105 16:00,32719.24
20240105 16:30,40062.28
20240105 17:00,47134.6
20240105 17:30,52210.74
20240105 18:00,56530.64
20240105 18:30,60286.04
20240105 19:00,62819.7
20240105 19:30,64796.3
20240105 20:00,67016.34
20240105 20:30,69006.71
20240105 21:00,70922.76
20240105 21:30,71309.51
20240105 22:00,70783.18
20240105 22:30,69508.73
20240105 23:00,82022.71
20240105 23:30,83586.01
20240106 00:00,82810.27
20240106 00:30,79679.52
20240106 01:00,88144.61
20240106 01:30,89072.01
20240106 02:00,89703.77
20240106 02:30,89577.18
20240106 03:00,89340.3
20240106 03:30,87410.76
20240106 04:00,85219.17
20240106 04:30,81805.63
20240106 05:00,77031.83
20240106 05:30,71928.83
20240106 06:00,65856.84
20240106 06:30,64244.14
20240106 07:00,54367.46
20240106 07:30,49658.13
20240106 08:00,46449.41
20240106 08:30,45150.81
20240106 09:00,45551.17
20240106 09:30,44774.24
20240106 10:00,43255.03
20240106 10:30,41881.93
20240106 11:00,40334.41
20240106 11:30,38577.72
20240106 12:00,36400.91
20240106 12:30,33052.95
20240106 13:00,29971.01
20240106 13:30,26787.17
20240106 14:00,23281.93
20240106 14:30,21161.82
20240106 15:00,21021.73
20240106 15:30,24795.41
20240106 16:00,31511.44
20240106 16:30,38782.34
20240106 17:00,45649.69
20240106 17:30,50722.66
20240106 18:00,54194.12
20240106 18:30,56903.97
20240106 19:00,58638.78
20240106 19:30,60105.48
20240106 20:00,61636.81
20240106 20:30,63504.3
20240106 21:00,65067.07
20240106 21:30,64819.15
20240106 22:00,64528.29
20240106 22:30,63648.01
20240106 23:00,75859.06
20240106 23:30,77149.12
20240107 00:00,76297.58
20240107 00:30,72998.18
20240107 01:00,81466.22
20240107 01:30,82753.37
20240107 02:00,83746.67
20240107 02:30,84034.45
20240107 03:00,84320.8
20240107 03:30,83171.57
20240107 04:00,81654.97
20240107 04:30,78671.92
20240107 05:00,73885.86
20240107 05:30,68097.17
20240107 06:00,60935.64
20240107 06:30,57395.77
20240107 07:00,48097.41
20240107 07:30,44893.09
20240107 08:00,42218.97
20240107 08:30,42137.43
20240107 09:00,44802.91
20240107 09:30,45074.69
20240107 10:00,44652.84
20240107 10:30,43831.6
20240107 11:00,43711.24
20240107 11:30,42597.77
20240107 12:00,41140.87
20240107 12:30,36488.59
20240107 13:00,35574.44
20240107 13:30,33055.62
20240107 14:00,32143.69
20240107 14:30,34500.16
20240107 15:00,37019.35
20240107 15:30,39754.82
20240107 16:00,43654.82
20240107 16:30,48884.74
20240107 17:00,55678.61
20240107 17:30,61017.84
20240107 18:00,64853.63
20240107 18:30,67260.9
20240107 19:00,68697.24
20240107 19:30,69879.97
20240107 20:00,71246.85
20240107 20:30,72310.36
20240107 21:00,73839.31
20240107 21:30,73457.43
20240107 22:00,72784.5
20240107 22:30,70601.85
20240107 23:00,81882.96
20240107 23:30,83002.27
20240108 00:00,82463.23
20240108 00:30,80064.9
20240108 01:00,89527.35
20240108 01:30,91121.07
20240108 02:00,92396.11
20240108 02:30,92263.93
20240108 03:00,91021.91
20240108 03:30,87981.91
20240108 04:00,84922.05
20240108 04:30,80563.88
20240108 05:00,75153.61
20240108 05:30,69709.46
20240108 06:00,64849.42
20240108 06:30,64103.6
20240108 07:00,55161.46
20240108 07:30,50605.45
20240108 08:00,48206.17
20240108 08:30,48186.8
20240108 09:00,49650.15
20240108 09:30,49945.39
20240108 10:00,49054.59
20240108 10:30,47561.83
20240108 11:00,46441.5
20240108 11:30,45186.09
20240108 12:00,42471.42
20240108 12:30,39352.45
20240108 13:00,36002.35
20240108 13:30,32423.81
20240108 14:00,29020.11
20240108 14:30,26165.55
20240108 15:00,26401.18
20240108 15:30,30164.38
20240108 16:00,39280.31
20240108 16:30,49000.18
20240108 17:00,58385.95
20240108 17:30,64922.2
20240108 18:00,70026.43
20240108 18:30,73742.38
20240108 19:00,76497.27
20240108 19:30,78660.04
20240108 20:00,81064.4
20240108 20:30,83397
20240108 21:00,85001.57
20240108 21:30,84170.89
20240108 22:00,82322.13
20240108 22:30,79557.8
20240108 23:00,91284.43
20240108 23:30,92322.91
20240109 00:00,91132.03
20240109 00:30,88045.89
20240109 01:00,97143.5
20240109 01:30,97872.04
20240109 02:00,98001.16
20240109 02:30,96712.44
20240109 03:00,95178.53
20240109 03:30,92013.17
20240109 04:00,89331.12
20240109 04:30,86137.86
20240109 05:00,83981.7
20240109 05:30,83459.34
20240109 06:00,83896.86
20240109 06:30,87259.92
20240109 07:00,76323.89
20240109 07:30,64244.82
20240109 08:00,53388.62
20240109 08:30,47922.7
20240109 09:00,45568.91
20240109 09:30,43762.55
20240109 10:00,41197.46
20240109 10:30,39651.46
20240109 11:00,38191.29
20240109 11:30,36439.49
20240109 12:00,35179.42
20240109 12:30,32491.63
