Time,Load
20240101 00:00,78839.89
20240101 00:30,75023.24
20240101 01:00,83586.73
20240101 01:30,85947.69
20240101 02:00,87401.89
20240101 02:30,88996.7
20240101 03:00,90649.81
20240101 03:30,90887.47
20240101 04:00,90267.39
20240101 04:30,87659.91
20240101 05:00,81741.88
20240101 05:30,73606.47
20240101 06:00,62678.52
20240101 06:30,55465.17
20240101 07:00,44341.7
20240101 07:30,40417.11
20240101 08:00,41218.67
20240101 08:30,45057.84
20240101 09:00,47405.67
20240101 09:30,48807.08
20240101 10:00,47912.11
20240101 10:30,46596.88
20240101 11:00,44980.08
20240101 11:30,43398.03
20240101 12:00,41323.09
20240101 12:30,37659.07
20240101 13:00,34500.79
20240101 13:30,31600.74
20240101 14:00,28278.65
20240101 14:30,24836.17
20240101 15:00,23146.52
20240101 15:30,26966.5
20240101 16:00,36144.42
20240101 16:30,45139.6
20240101 17:00,52748.12
20240101 17:30,57618.35
20240101 18:00,60910.52
20240101 18:30,63219.41
20240101 19:00,65065.1
20240101 19:30,66929.4
20240101 20:00,69163.17
20240101 20:30,71253.11
20240101 21:00,73118.53
20240101 21:30,73495.4
20240101 22:00,72829.22
20240101 22:30,71305.97
20240101 23:00,81621.91
20240101 23:30,82814.48
20240102 00:00,81973.36
20240102 00:30,79682.38
20240102 01:00,89567.76
20240102 01:30,92897.06
20240102 02:00,95204.44
20240102 02:30,96229
20240102 03:00,96976.54
20240102 03:30,95500.8
20240102 04:00,93201.79
20240102 04:30,89201.1
20240102 05:00,82659.9
20240102 05:30,74752.51
20240102 06:00,65810.74
20240102 06:30,61663.63
20240102 07:00,55013.75
20240102 07:30,58318.5
20240102 08:00,58125.08
20240102 08:30,56955.06
20240102 09:00,53796.93
20240102 09:30,56036.66
20240102 10:00,55531.99
20240102 10:30,54772.38
20240102 11:00,57055.04
20240102 11:30,59200.18
20240102 12:00,59056.59
20240102 12:30,58491.89
20240102 13:00,58902.88
20240102 13:30,54970.12
20240102 14:00,52164.53
20240102 14:30,52805.08
20240102 15:00,49081.34
20240102 15:30,49664.7
