Time,Load
20240101 00:00,83053.8
20240101 00:30,79344.91
20240101 01:00,90202.3
20240101 01:30,93024.35
20240101 02:00,94731.32
20240101 02:30,96521.69
20240101 03:00,98379.06
20240101 03:30,98398.09
20240101 04:00,97463.43
20240101 04:30,94578.82
20240101 05:00,87203.5
20240101 05:30,77748.81
20240101 06:00,64847.86
20240101 06:30,58094.31
20240101 07:00,48818.58
20240101 07:30,52350.24
20240101 08:00,67594.19
20240101 08:30,88003.05
20240101 09:00,106086.46
20240101 09:30,115408.78
20240101 10:00,118022.15
20240101 10:30,117317.59
20240101 11:00,116031.92
20240101 11:30,114167.67
20240101 12:00,112451.78
20240101 12:30,109014.25
20240101 13:00,103748.22
20240101 13:30,95172.27
20240101 14:00,82908.68
20240101 14:30,63670.64
20240101 15:00,44891.78
20240101 15:30,35656.53
20240101 16:00,38300.16
20240101 16:30,45436.2
20240101 17:00,53215.32
20240101 17:30,58510.71
20240101 18:00,62365.44
20240101 18:30,65174.57
20240101 19:00,67506.1
20240101 19:30,69955.61
20240101 20:00,72448.66
20240101 20:30,74748.19
20240101 21:00,76610.82
20240101 21:30,77006.43
20240101 22:00,76206.02
20240101 22:30,74831.65
20240101 23:00,88017.05
20240101 23:30,90317.9
20240102 00:00,90962.33
20240102 00:30,89330.24
20240102 01:00,102663.33
20240102 01:30,106790.1
20240102 02:00,109964.24
20240102 02:30,111682.58
20240102 03:00,111991.85
20240102 03:30,109676.82
20240102 04:00,105489.52
20240102 04:30,98852.6
20240102 05:00,89690.49
20240102 05:30,80434.72
20240102 06:00,70352.54
20240102 06:30,68189.35
20240102 07:00,65196.35
20240102 07:30,76665.24
20240102 08:00,92278.22
20240102 08:30,112431.72
20240102 09:00,114531.02
20240102 09:30,116252.73
20240102 10:00,129253.68
20240102 10:30,130050.56
20240102 11:00,111325.87
20240102 11:30,100600.04
20240102 12:00,111346.85
20240102 12:30,101918.06
20240102 13:00,93110.86
20240102 13:30,70927.19
20240102 14:00,60797.72
20240102 14:30,60252.93
20240102 15:00,63980.09
20240102 15:30,59659.99
20240102 16:00,57589.47
20240102 16:30,60744.87
20240102 17:00,67911.52
20240102 17:30,72927.59
20240102 18:00,75822.21
20240102 18:30,77769.52
20240102 19:00,79810.47
20240102 19:30,81305.8
20240102 20:00,82430.19
20240102 20:30,83599.29
20240102 21:00,84243.52
20240102 21:30,83769.47
20240102 22:00,82258.4
20240102 22:30,79903.54
20240102 23:00,91314.77
20240102 23:30,92838.73
20240103 00:00,92845.57
20240103 00:30,91550.38
20240103 01:00,104614.52
20240103 01:30,108596.15
20240103 02:00,111807.52
20240103 02:30,113733.76
20240103 03:00,114756.43
20240103 03:30,113368.63
20240103 04:00,110858.89
20240103 04:30,106131.94
20240103 05:00,98536.21
20240103 05:30,89434.44
20240103 06:00,78090.32
20240103 06:30,73793.76
20240103 07:00,67387.42
20240103 07:30,78971.86
20240103 08:00,87470.57
20240103 08:30,104512.37
20240103 09:00,111578.44
20240103 09:30,114081.13
20240103 10:00,100922.36
20240103 10:30,100197.13
20240103 11:00,96792.09
20240103 11:30,102667.48
20240103 12:00,98146.94
20240103 12:30,96990.39
20240103 13:00,82285.55
20240103 13:30,85131.45
20240103 14:00,73220.37
20240103 14:30,74708.28
20240103 15:00,66979
20240103 15:30,54837.98
20240103 16:00,54943.21
20240103 16:30,60104.48
20240103 17:00,68733.45
20240103 17:30,74597.52
20240103 18:00,77951.7
20240103 18:30,79925.51
20240103 19:00,81055.3
20240103 19:30,81818.87
20240103 20:00,82688.91
20240103 20:30,83187.23
20240103 21:00,82756.18
20240103 21:30,80635.63
20240103 22:00,77373.51
20240103 22:30,73710.13
20240103 23:00,82812.97
20240103 23:30,82345.56
20240104 00:00,80106.27
20240104 00:30,76947.84
20240104 01:00,88209.46
20240104 01:30,91888.11
20240104 02:00,94907.86
20240104 02:30,97637.77
20240104 03:00,100286.43
20240104 03:30,100757.85
20240104 04:00,100531.33
20240104 04:30,97975.35
20240104 05:00,92103.29
20240104 05:30,84476.9
20240104 06:00,74184.91
20240104 06:30,69663.85
20240104 07:00,61578.64
20240104 07:30,66294.17
20240104 08:00,66725.64
20240104 08:30,74007.43
20240104 09:00,85924.02
20240104 09:30,73864.04
20240104 10:00,97386.16
20240104 10:30,120395.93
20240104 11:00,119982.04
20240104 11:30,120511.95
20240104 12:00,118776.76
20240104 12:30,114693.9
20240104 13:00,108872.14
20240104 13:30,99404.4
20240104 14:00,85407.2
20240104 14:30,68076.29
20240104 15:00,47952.86
20240104 15:30,35639.42
20240104 16:00,38226.17
20240104 16:30,46064.95
20240104 17:00,55012.79
20240104 17:30,61766.15
20240104 18:00,67052.92
20240104 18:30,71196.24
20240104 19:00,74034.28
20240104 19:30,76178.47
20240104 20:00,78211.68
20240104 20:30,79956.09
20240104 21:00,81017.11
20240104 21:30,80391.94
20240104 22:00,78558.68
20240104 22:30,76237.91
20240104 23:00,87987.72
20240104 23:30,90271.65
20240105 00:00,90942.78
20240105 00:30,89946.19
20240105 01:00,104365.22
20240105 01:30,109834.21
20240105 02:00,113844.21
20240105 02:30,116186.76
20240105 03:00,117177.58
20240105 03:30,115629.71
20240105 04:00,113073.76
20240105 04:30,108647.6
20240105 05:00,102728.63
20240105 05:30,96880.29
20240105 06:00,90478
20240105 06:30,88979.57
20240105 07:00,79860.36
20240105 07:30,84263.7
20240105 08:00,86957.89
20240105 08:30,90973.79
20240105 09:00,99177.43
20240105 09:30,101096.57
20240105 10:00,108428.96
20240105 10:30,110470.6
20240105 11:00,122163.17
20240105 11:30,121638.16
20240105 12:00,110111.67
20240105 12:30,110627.98
20240105 13:00,106075.21
20240105 13:30,98015.57
20240105 14:00,83996.03
20240105 14:30,65507.33
20240105 15:00,47606.34
20240105 15:30,36606.79
20240105 16:00,38397.23
20240105 16:30,45079.39
20240105 17:00,53924.83
20240105 17:30,60726.21
20240105 18:00,66400.07
20240105 18:30,70628.93
20240105 19:00,73557.32
20240105 19:30,75670.29
20240105 20:00,77804.41
20240105 20:30,79665.82
20240105 21:00,80978.89
20240105 21:30,80387.39
20240105 22:00,78667.23
20240105 22:30,76608.68
20240105 23:00,88467.78
20240105 23:30,90323.17
20240106 00:00,90522.13
20240106 00:30,89219.13
20240106 01:00,103046.14
20240106 01:30,107775.01
20240106 02:00,111641.1
20240106 02:30,113886.68
20240106 03:00,114975.54
20240106 03:30,113609.39
20240106 04:00,111224.28
20240106 04:30,106661.37
20240106 05:00,99815.81
20240106 05:30,91946.22
20240106 06:00,82361.03
20240106 06:30,79261.46
20240106 07:00,70578.65
20240106 07:30,73728
20240106 08:00,77914.11
20240106 08:30,94792.97
20240106 09:00,107832.54
20240106 09:30,113697.22
20240106 10:00,116661.91
20240106 10:30,117574.21
20240106 11:00,115524.7
20240106 11:30,115505.41
20240106 12:00,115659.94
20240106 12:30,111084.59
20240106 13:00,104970.11
20240106 13:30,96162.88
20240106 14:00,82711.66
20240106 14:30,64823.33
20240106 15:00,46560.62
20240106 15:30,36207.06
20240106 16:00,37909.06
20240106 16:30,43645.69
20240106 17:00,52254.18
20240106 17:30,58870.08
20240106 18:00,63204.04
20240106 18:30,66483.07
20240106 19:00,68319.32
20240106 19:30,69630.23
20240106 20:00,70932.8
20240106 20:30,72048.09
20240106 21:00,72367.87
20240106 21:30,71310.69
20240106 22:00,69420.23
20240106 22:30,67392.71
20240106 23:00,78288.15
20240106 23:30,79492.64
20240107 00:00,78847.63
20240107 00:30,77063.77
20240107 01:00,89899.16
20240107 01:30,94533.81
20240107 02:00,98862.45
20240107 02:30,102739.91
20240107 03:00,105687.78
20240107 03:30,105865.37
20240107 04:00,104784.98
20240107 04:30,101316.83
20240107 05:00,94260.84
20240107 05:30,85416.69
20240107 06:00,73744.82
20240107 06:30,68174.66
20240107 07:00,61599.78
20240107 07:30,68967.68
20240107 08:00,80291.05
20240107 08:30,96890.37
20240107 09:00,112171.35
20240107 09:30,120756.91
20240107 10:00,123918.09
20240107 10:30,137352.95
20240107 11:00,139372.38
20240107 11:30,141925.93
20240107 12:00,135285.32
20240107 12:30,116342.59
20240107 13:00,96109.46
20240107 13:30,85644.92
20240107 14:00,75877.23
20240107 14:30,71511.59
20240107 15:00,63311.84
20240107 15:30,55522.02
20240107 16:00,53219.26
20240107 16:30,56524.12
20240107 17:00,64994.06
20240107 17:30,71533.52
20240107 18:00,75973.88
20240107 18:30,78577.13
20240107 19:00,80126.75
20240107 19:30,81096.02
20240107 20:00,82163.66
20240107 20:30,83011.37
20240107 21:00,83605.37
20240107 21:30,82107.24
20240107 22:00,79879.34
20240107 22:30,76542.84
20240107 23:00,86139.4
20240107 23:30,87254.97
20240108 00:00,88193.45
20240108 00:30,88232.19
20240108 01:00,103081.56
20240108 01:30,108847.12
20240108 02:00,113199.37
20240108 02:30,115993.55
20240108 03:00,117316.4
20240108 03:30,115537.18
20240108 04:00,112429.72
20240108 04:30,107141.88
20240108 05:00,99153.64
20240108 05:30,90301.37
20240108 06:00,80628.85
20240108 06:30,78553.75
20240108 07:00,67857.39
20240108 07:30,70334.7
20240108 08:00,83726.05
20240108 08:30,104068.73
20240108 09:00,120215.88
20240108 09:30,127346.51
20240108 10:00,128147.07
20240108 10:30,126084.71
20240108 11:00,123902.35
20240108 11:30,122826.98
20240108 12:00,121395.28
20240108 12:30,118001.26
